playerID,playerName,password,salt
13,QuizBot,0x9E6C46215C06414ECD035B15DF6D8A8E5F543EA57B6F0DAED0BE7A0A338606AB,0x68D6D5F8B4B4D64D06FD4E0786B3EC900D297319A056C2CB00A7B7F98466E1C3
16,Newbie,0x5662B14CB0CE99312170A9F63B8F7622F2CCE9BA0563ABEC5C33B565841B33F8,0x6DFF1C007F15977826428AC317FDF4111B279177FB0AACE68CA2228C983384E4
17,Sorting Big Red,0xFA6B0A66A0906972842E618974787708FFD018FADAC90D807DBD64ACD57FAC01,0xB12557958FACE2D1C53BE572712573975FF78C93362A4858C43FCCA328F0BE5D
23,Tutor,0x746CF9988D665DDA11EAB91085C24CD1016064E2072EC96B88687E5F0FC80560,0xE42E5D05FE72DB1358DE62235D101B0EE506B5FD8484CB41643C5471711FF753
24,Big Red,0xB6ED0BA498D18AF6CAACBCDC654754DCA4E5FDFB3D0574672ED4ACB11D3CC3D7,0x723902E0CC08E776C1470E9B26E3E5E4237CBEF1C3474D021BA179ABA04FB5C3
25,RandomFactsGuru,0x1FCAF142BF69A2040C0D7AB22E4BF7E8BE02AB96B1EDBCC3ECEBE1751225D487,0x5165F869BAE258FFD3410C2DC7FED2FFC0130C2ECA9D815B35EB388C245E38CC
26,Professor H,0xDE698A6D97E3E701C1FD1A1F28DEDAB43C7E0E80FED686FCF787B76798045096,0x258F2AAADE4AECD1F3C963D14FE7D734D3D4FEB4747CA74D6E421932598FBE4B
27,Quad_GUY,0xE715CB303B0027B85B5A8D21C821D4DD5AB03F09B2B2854A150DD7DD161504BE,0xD265DE822DDDF3EEE04366411E2AD6B42201CD171C3DE67542014DC179E6A413
28,IT Guy,0xFB17008FED7F74C5CB60991AAF35E5542E1A6AB5E09A2D461E3B1DD63423C7D7,0x1C82592ACEE414CE70EC8A1B28BDC646B5240A020E8BBE3EC3C5454DE7262768
30,TEAcher,0x09197FEEA8185CD2323348ABF2A1FA4A846449540D15CF13784F68EE4CC80622,0xD1051AA5B1D2365E2A78D784F8A7766E92C9A1ACE2F73811E2804D82573AA286
31,RPSGuy,0xD1A4F326F8899074BF70120B072891C6FD715C35539E98EB78230526A3B59D8F,0x7645D53C618439541332CBE110F2C11815078C6CC453FA30157B27B6EA8E68EB
32,MowreyInfoPerson,0xFA09FB2BB58812B1E4C4BBED3AD36152DA0932253E0654A7301399008B9CFBB0,0x322485FCE5DD851D231FC7D321C9DA785E27164EE148AEF40D34C4C8CB9722BA
33,President,0xCB2D1A71F03CAE6A8F0FB3055BD46342D2923B1C5A5CDA7F82EA157EA7DF3007,0x991C8523FA28D6EEF0868A11C48FCB268F96667966D740F96935F03ECAEDD979
34,DrCella,0xCB2D1A71F03CAE6A8F0FB3055BD46342D2923B1C5A5CDA7F82EA157EA7DF3007,0x991C8523FA28D6EEF0868A11C48FCB268F96667966D740F96935F03ECAEDD979
35,Piffle,0xCB2D1A71F03CAE6A8F0FB3055BD46342D2923B1C5A5CDA7F82EA157EA7DF3007,0x991C8523FA28D6EEF0868A11C48FCB268F96667966D740F96935F03ECAEDD979
40,Merlin,0xD1AFE7A25C641D0C409FAEC8C3B57178756DB336AD083F38749F254D554889E9,0xFC83C8A46AF1EB96E7CC79B94FCA81169C5D53DC73CB6FE3CDCC0EBBAEF7C9A2
41,Guest,0xD1AFE7A25C641D0C409FAEC8C3B57178756DB336AD083F38749F254D554889E9,0xFC83C8A46AF1EB96E7CC79B94FCA81169C5D53DC73CB6FE3CDCC0EBBAEF7C9A2
